card_id,card_name,card_url,current_list,closed,due,due_complete,trello_date_last_activity,actions_in_period,active_members_in_period,first_activity_in_period,last_activity_in_period,comments,updates,checklist_activity,moves_detected,assigned_member_count,label_count
695f56935e55d9046de46253,Board Meeting 25-26 FY Planning,https://trello.com/c/a1T5P9nW/387-board-meeting-25-26-fy-planning,In Progress,FALSE,2026-06-05T17:36:00.000Z,TRUE,2026-06-12T20:21:02.982Z,105,2,2026-02-17T21:26:54.914Z,2026-06-11T16:58:08.660Z,0,67,38,18,2,1
695f56905e55d9046de45686,Amex Credit Card Reconciliation,https://trello.com/c/yksxGPFL/398-amex-credit-card-reconciliation,In Progress,FALSE,2026-06-22T18:35:00.000Z,FALSE,2026-06-15T18:37:39.953Z,83,3,2026-02-18T16:25:25.246Z,2026-06-15T18:37:22.825Z,0,58,22,19,2,1
691d680f27f13d6949833a02,Garnet and Black Road Trip Events 2026,https://trello.com/c/8Boh3jKk/101-garnet-and-black-road-trip-events-2026,Completed,FALSE,2026-05-22T17:36:00.000Z,TRUE,2026-06-03T17:15:05.692Z,73,4,2026-02-23T22:36:23.400Z,2026-06-03T17:15:05.704Z,5,12,47,2,4,1
69ab298ca27f3f5f0979bcef,Annual Membership Meeting (Held in June),https://trello.com/c/d67MaARr/512-annual-membership-meeting-held-in-june,Overdue,FALSE,2026-06-16T17:36:00.000Z,FALSE,2026-06-16T17:36:18.162Z,56,3,2026-03-06T19:22:52.633Z,2026-06-16T17:36:18.173Z,2,29,14,7,5,3
695f56905e55d9046de4568c,Founders Corporate Card Reconciliation,https://trello.com/c/jHfyhLI2/400-founders-corporate-card-reconciliation,In Progress,FALSE,2026-06-22T18:30:00.000Z,FALSE,2026-06-15T18:20:45.001Z,56,3,2026-02-18T19:28:54.128Z,2026-06-15T18:20:37.030Z,0,31,25,10,2,1
695e5f68d2d508cbd6229025,Chapter Due To/From Report,https://trello.com/c/TM4fRspI/370-chapter-due-to-from-report,In Progress,FALSE,2026-06-26T19:30:00.000Z,FALSE,2026-05-28T03:26:53.752Z,50,2,2026-02-23T20:29:51.769Z,2026-05-27T21:03:58.581Z,0,50,0,9,2,1
695f56905e55d9046de456b1,Blackbaud Merchant Account Reconciliation,https://trello.com/c/ZlCrMEfA/401-blackbaud-merchant-account-reconciliation,In Progress,FALSE,2026-06-18T17:30:00.000Z,FALSE,2026-06-15T18:20:26.730Z,49,3,2026-02-18T18:30:26.481Z,2026-06-15T14:40:00.685Z,0,35,14,10,2,1
69970ea9a3553c191b8a4d3f,Auto Pay Plan Timeline (Communication/Process),https://trello.com/c/DAjoCsB3/509-auto-pay-plan-timeline-communication-process,In Progress,FALSE,2026-12-01T19:38:00.000Z,FALSE,2026-05-12T13:52:07.173Z,45,4,2026-02-19T13:22:50.031Z,2026-03-23T14:02:51.477Z,1,19,16,1,5,2
695e5f64d2d508cbd6227970,Bank Reconciliations,https://trello.com/c/kyolbmf4/381-bank-reconciliations,In Progress,FALSE,2026-07-06T19:30:00.000Z,FALSE,2026-06-12T13:54:40.460Z,44,2,2026-02-17T17:38:42.572Z,2026-06-12T13:52:36.816Z,0,44,0,10,2,1
695e5f64d2d508cbd6227a79,Chase Credit Card Reconciliation,https://trello.com/c/yWqUVxca/384-chase-credit-card-reconciliation,In Progress,FALSE,2026-06-13T18:30:00.000Z,FALSE,2026-06-16T14:14:49.172Z,43,3,2026-02-18T16:26:42.584Z,2026-06-16T14:14:49.102Z,0,18,25,2,2,1
